,E01018218,E01018219,E01018220,E01018221,E01018222,E01018223,E01018224,E01018225,E01018226,E01018227,E01018228,E01018231,E01018232,E01032611,E01018233,E01018234,E01018235,E01018236,E01018237,E01018238,E01018239,E01018240,E01018241,E01018242,E01018243,E01018244,E01018245,E01018246,E01018247,E01018248,E01018249,E01018250,E01018251,E01018252,E01018253,E01018254,E01018255,E01018256,E01018257,E01018258,E01018259,E01018260,E01018262,E01018263,E01018264,E01018265,E01018266,E01018267,E01018268,E01018269,E01018270,E01018271,E01018272,E01018273,E01018274,E01018275,E01018276,E01018277,E01017943,E01018278,E01017944,E01018279,E01017945,E01018280,E01017946,E01018281,E01017947,E01018282,E01017948,E01018283,E01017949,E01018284,E01017950,E01018285,E01017951,E01018286,E01017952,E01018287,E01017953,E01018288,E01017954,E01018289,E01017955,E01018290,E01017956,E01018291,E01017957,E01018292,E01017958,E01018293,E01017959,E01018294,E01017960,E01018295,E01033425,E01017961,E01018296,E01033426,E01017962,E01018297,E01033113,E01033427,E01017963,E01018298,E01033114,E01033428,E01017964,E01018299,E01033115,E01033429,E01017965,E01018300,E01033116,E01033430,E01017966,E01018301,E01033117,E01017967,E01018302,E01033118,E01017968,E01018303,E01033119,E01017969,E01018304,E01033120,E01017971,E01018305,E01033121,E01017972,E01018306,E01017973,E01018307,E01017974,E01017975,E01017976,E01017977,E01017978,E01017979,E01017980,E01017983,E01017984,E01017985,E01017986,E01017987,E01017988,E01017989,E01017990,E01017991,E01017992,E01017993,E01017994,E01017995,E01017996,E01017997,E01017998,E01017999,E01018000,E01018001,E01018002,E01018003,E01018005,E01018006,E01018007,E01018008,E01018009,E01018010,E01018011,E01018012,E01018013,E01018014,E01018015,E01018016,E01018017,E01018019,E01018020,E01018021,E01018022,E01018023,E01018024,E01018025,E01018026,E01018027,E01018029,E01018030,E01018032,E01018033,E01018034,E01018035,E01018036,E01018037,E01018038,E01018039,E01018040,E01018041,E01018042,E01018043,E01018044,E01018045,E01018046,E01018047,E01018049,E01018050,E01018051,E01018052,E01018053,E01018054,E01018055,E01018056,E01018057,E01032792,E01032794,E01032795,E01032797,E01032802,TOTAL
E01018218,50,22,2,0,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,14,4,0,2,0,0,4,2,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,192
E01018219,44,58,14,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0,0,2,0,0,4,4,2,0,2,0,2,0,0,2,0,0,4,0,0,0,0,0,0,2,4,0,8,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,2,2,0,6,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,230
E01018220,4,2,48,4,0,0,2,0,2,0,0,0,2,0,2,8,0,0,0,4,6,0,2,4,0,6,0,0,0,0,0,0,2,2,2,0,2,2,4,0,0,2,2,10,8,14,0,4,0,0,0,0,6,0,0,0,2,0,6,0,2,0,0,2,0,2,2,2,0,0,0,0,0,2,0,0,2,2,6,2,4,0,0,2,0,0,0,2,0,4,4,6,0,0,4,0,0,2,0,0,0,4,0,0,0,2,0,2,0,0,2,0,4,2,0,2,0,0,2,2,0,0,2,0,2,2,2,0,0,2,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,4,2,0,2,4,2,0,0,0,4,0,0,0,2,4,4,4,0,2,0,0,0,0,0,2,4,0,0,0,4,0,0,0,2,2,0,2,2,0,2,0,0,0,0,0,0,2,2,0,0,4,0,6,0,2,8,6,0,6,0,0,354
E01018221,0,0,0,24,6,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
E01018222,0,0,0,14,18,22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,2,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,4,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,8,0,0,2,0,0,2,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
E01018223,6,4,4,224,170,202,12,4,6,18,2,22,24,4,14,32,20,22,22,6,4,2,8,2,6,10,6,4,2,18,2,8,10,48,6,8,6,14,16,28,10,14,20,4,0,12,106,4,4,4,0,6,8,16,4,18,34,26,10,16,2,6,12,12,16,10,16,12,4,4,6,54,4,60,4,6,12,6,6,0,4,6,18,10,8,6,6,0,0,4,6,6,0,4,6,4,0,2,4,18,6,10,6,0,22,6,4,8,10,10,6,10,20,0,12,6,18,12,8,8,2,6,16,4,66,10,6,66,14,4,62,4,76,6,10,4,8,6,16,0,0,2,4,0,6,6,4,2,0,2,2,6,4,0,4,16,2,10,6,16,6,2,8,14,6,2,6,4,4,4,12,2,4,0,2,6,4,22,4,4,0,0,6,6,4,6,6,4,8,10,10,4,6,0,2,4,6,6,4,4,4,0,4,6,0,20,10,22,12,10,4,0,0,0,8,2678
E01018224,2,2,2,2,6,8,66,10,4,4,4,22,24,0,6,8,8,4,2,0,2,2,0,2,6,2,0,0,10,18,0,6,26,30,0,6,16,6,2,10,2,6,4,6,0,0,0,10,0,2,10,2,0,2,2,6,2,0,2,4,0,4,4,0,4,0,0,6,2,0,2,8,0,2,0,2,6,8,2,6,6,2,4,4,2,0,4,2,2,4,0,0,0,6,0,2,0,2,0,4,2,0,4,0,8,0,0,2,8,4,4,4,16,4,4,2,8,2,4,6,2,2,10,0,8,0,2,6,2,2,0,4,4,0,6,6,2,2,2,0,6,4,0,0,2,2,0,0,0,2,2,0,0,0,2,2,0,2,2,6,2,4,4,2,0,0,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,2,0,0,0,0,2,0,2,4,2,4,0,0,0,0,4,0,710
E01018225,0,0,0,6,6,6,8,26,0,4,2,8,16,0,0,0,0,2,0,2,0,0,6,0,0,0,0,2,4,0,0,2,4,8,4,6,8,2,0,0,0,0,0,2,0,0,2,2,0,2,4,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0,6,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,0,0,8,0,0,0,4,0,0,0,2,0,6,2,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,4,2,0,0,2,0,2,2,0,0,0,0,0,2,0,0,2,2,2,2,8,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,2,0,0,0,0,264
E01018226,2,0,0,8,2,4,4,2,446,148,68,6,8,0,0,0,2,2,6,4,2,8,2,0,2,0,12,18,26,4,2,0,2,2,8,2,0,8,0,4,0,0,2,0,0,0,4,32,26,32,16,32,0,8,0,40,8,2,0,0,2,0,0,4,0,2,0,2,0,2,2,0,0,0,0,0,0,0,2,2,0,4,2,66,0,2,0,2,0,0,0,2,2,2,2,2,0,0,4,0,6,2,0,28,10,2,0,0,10,2,0,0,10,0,2,0,16,0,2,10,0,0,4,0,0,0,2,2,0,0,8,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1286
E01018227,0,0,0,0,0,0,2,0,4,56,16,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
