Origen,E02006825,E02003719,E02003720,E02003721,E02003722,E02003723,E02003724,E02003725,E02003726,E02003727,E02003728,E02003729,E02003730,E02003731,E02003732,E02003733,E02003734,E02003735,E02003736,E02003737,E02003738,E02003739,E02006873,E02003740,E02006874,E02003742,E02003743,E02006877,E02003744,E02006878,E02003745,E02003746,E02003747,E02003748,E02003749,E02003750,E02003751,E02003752,E02003753,E02003754,E02003755,E02003756,E02003237,E02003757,E02003238,E02003758,E02003239,E02003759,E02003240,E02003760,E02003241,E02003761,E02003242,E02003762,E02003243,E02003763,E02003244,E02003764,E02003245,E02003765,E02003246,E02003766,E02003247,E02003767,E02003248,E02003768,E02003249,E02003769,E02003250,E02003770,E02003251,E02003771,E02003252,E02003772,E02003253,E02003773,E02003254,E02003774,E02003775,E02003255,E02003776,E02003257,E02003777,E02003778,E02003779,E02003780,E02003781,E02003783,E02003784,E02003785,E02003786,E02003787,E02003788,E02003789,E02003790,E02003791,E02003792,E02003793
E02006825,191,0,0,3,0,0,1,0,1,0,2,3,2,0,6,11,6,7,1,26,26,22,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,2,0,0,0,1,2,1,6,0,0,1,1,5,1,0,0
E02003719,6,50,11,21,7,4,16,4,2,5,7,11,2,6,8,9,18,7,12,9,6,15,11,8,12,0,4,0,0,2,0,0,0,0,0,4,1,8,0,0,2,1,0,0,0,9,0,2,0,2,0,2,0,1,0,3,0,1,1,7,0,1,0,0,0,7,0,2,0,3,0,4,1,4,0,3,0,0,14,1,18,0,15,19,9,31,19,3,15,11,4,6,4,4,7,5,5,4
E02003720,8,27,23,22,8,6,12,5,2,5,5,11,6,2,7,12,7,3,4,7,5,6,12,6,3,0,0,2,0,0,0,1,0,1,1,1,2,4,2,0,2,0,0,2,0,5,0,9,0,1,0,2,0,1,2,6,0,2,0,3,0,3,0,0,0,6,0,1,0,1,0,1,0,1,2,1,0,3,13,0,19,0,20,9,10,34,14,7,11,4,6,5,3,1,9,12,7,4
E02003721,51,130,88,140,75,30,73,25,35,76,62,90,40,43,69,81,108,77,109,110,35,75,114,64,76,2,2,3,4,7,7,8,3,4,11,13,10,43,10,6,10,10,4,13,2,29,9,33,1,21,1,16,3,22,0,38,8,26,4,26,1,23,0,10,0,57,2,12,0,33,2,16,2,25,0,28,1,5,84,1,110,4,101,89,80,172,124,62,121,91,41,40,57,52,55,44,45,31
E02003722,10,42,42,38,27,12,36,8,12,24,14,28,19,22,5,15,16,24,33,30,11,19,37,11,16,0,0,1,0,1,1,2,1,4,0,2,4,10,3,1,3,2,0,3,1,17,0,16,0,4,0,5,2,4,0,12,0,4,0,11,1,7,1,1,0,17,0,5,1,10,4,8,1,7,1,7,0,4,42,1,40,2,42,41,29,53,44,25,41,33,12,15,17,14,21,19,16,9
E02003723,24,79,82,54,43,31,46,17,14,37,48,39,31,44,21,42,49,52,52,46,26,43,72,51,89,5,10,1,8,4,8,16,9,8,1,12,8,29,16,6,20,15,1,19,3,36,0,35,2,13,0,16,4,25,1,55,0,30,0,43,0,21,2,15,6,63,3,12,0,24,4,15,10,12,3,13,7,8,85,5,91,1,108,43,90,115,66,93,123,51,49,38,43,45,54,56,37,26
E02003724,33,60,57,38,25,16,129,8,17,51,45,86,21,39,27,31,34,29,61,48,23,45,40,34,34,0,3,3,0,1,3,5,3,2,4,4,10,22,5,3,2,12,0,7,1,17,1,11,2,6,0,5,3,3,0,23,0,12,0,6,0,14,1,3,0,19,0,2,3,17,2,3,3,9,4,15,0,4,37,3,54,1,55,59,53,96,63,22,55,95,21,22,29,39,39,41,36,16
E02003725,84,214,212,178,136,78,227,72,53,129,155,177,121,154,98,131,136,103,188,150,72,154,219,160,213,6,9,6,8,7,2,8,5,9,10,21,29,77,20,11,27,15,1,29,3,99,4,76,7,16,2,18,5,39,3,98,6,54,5,55,2,52,2,21,6,114,6,35,5,67,9,36,10,25,8,57,8,24,235,6,226,1,247,151,179,291,157,233,386,212,134,105,189,159,197,178,152,85
E02003726,9,56,42,81,18,11,84,11,17,51,50,72,43,47,13,27,23,21,43,24,17,46,38,38,31,0,3,2,1,4,0,2,2,6,2,1,5,16,2,0,4,3,2,4,0,11,4,15,0,3,1,9,0,4,2,11,0,10,0,18,0,14,0,6,1,23,0,2,0,9,3,4,2,11,1,17,2,3,39,1,59,1,41,28,26,61,34,31,51,53,37,24,31,28,36,44,24,14
E02003727,8,34,23,42,14,4,53,7,8,33,38,57,19,31,13,10,12,10,23,28,15,18,14,27,13,0,0,1,1,2,2,1,1,5,5,3,5,9,1,3,3,0,0,1,2,3,0,10,0,2,0,1,0,2,0,9,1,6,0,5,2,6,1,1,0,12,0,3,2,2,2,4,0,2,0,3,0,0,15,0,23,1,15,31,17,27,25,15,29,48,22,8,15,23,33,11,5,16
E02003728,16,44,43,49,26,10,93,13,24,32,59,80,21,44,9,12,18,16,38,26,20,38,43,31,34,0,1,0,1,2,1,3,3,0,0,0,4,11,5,1,7,3,0,2,1,12,0,9,2,5,0,7,2,5,1,16,0,5,0,18,1,7,0,4,0,22,0,2,1,6,2,2,1,4,4,12,1,3,26,1,35,2,49,36,29,45,35,20,52,75,38,19,29,48,46,29,15,13
E02003729,18,36,24,22,22,9,26,12,8,24,44,55,24,18,22,18,21,11,24,29,17,40,28,27,21,1,2,0,2,0,1,5,3,0,0,1,0,5,1,2,5,0,0,0,0,14,2,6,0,4,0,6,0,4,0,8,0,5,2,10,0,3,0,4,0,12,0,2,0,3,2,1,1,2,0,4,1,0,14,0,23,1,26,22,29,48,40,14,24,65,27,11,13,25,50,22,20,10
E02003730,50,72,58,71,59,37,97,43,37,76,105,127,89,98,31,61,66,55,74,68,46,79,80,101,81,0,1,2,6,16,7,14,5,5,3,6,10,37,7,4,8,13,0,13,2,49,0,39,3,5,3,9,2,13,2,51,3,17,1,22,0,25,1,13,2,55,3,12,1,29,3,12,8,13,2,26,8,10,106,4,85,0,128,79,106,120,105,110,176,146,115,84,140,150,133,120,102,69
E02003731,65,112,72,111,63,42,164,48,52,100,118,296,109,101,45,60,94,59,85,144,59,132,188,110,118,3,4,1,1,8,0,2,1,0,5,5,12,34,4,2,4,7,4,16,1,37,1,43,2,11,0,15,1,22,0,55,1,29,2,32,1,29,1,12,6,71,3,16,3,29,4,21,5,20,1,35,5,17,125,0,103,0,127,75,80,137,111,118,182,378,162,88,169,222,293,210,148,85
E02003732,7,9,2,0,4,2,2,1,1,1,2,2,4,0,377,103,118,81,77,54,28,9,1,3,2,1,3,1,6,1,8,3,3,6,3,3,16,23,1,0,2,0,0,2,0,5,2,5,0,0,1,0,0,1,1,5,1,0,2,5,0,3,1,0,0,6,0,1,0,1,1,1,1,0,0,1,0,0,5,0,4,0,2,4,2,1,6,1,7,2,0,1,1,3,3,1,1,0
E02003733,8,1,1,6,1,1,1,0,0,0,0,0,0,1,67,200,70,39,80,43,15,9,0,6,2,0,13,1,7,0,15,16,5,15,7,16,23,70,2,0,11,1,0,0,0,8,0,4,1,1,0,1,0,1,1,6,0,4,0,2,0,1,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,5,0,8,0,2,0,1,5,2,2,3,3,1,0,0,3,0,0,1,1
E02003734,19,5,1,9,6,0,3,1,2,3,5,0,3,7,199,192,247,164,189,111,31,24,3,9,1,2,2,0,8,1,6,9,4,6,5,8,22,32,3,0,4,3,0,5,0,5,0,10,0,0,0,0,0,1,2,10,0,2,0,4,0,2,2,0,0,3,1,1,1,1,0,0,0,1,0,1,0,1,3,1,10,1,5,12,4,8,7,0,5,4,2,2,1,1,2,1,3,1
E02003735,31,11,8,13,3,5,10,4,7,7,6,7,3,11,554,468,591,384,479,458,108,34,7,28,10,6,18,1,16,4,28,46,11,32,18,28,61,164,2,1,16,2,0,12,0,15,3,32,2,4,0,6,3,4,1,19,1,7,0,7,4,11,1,4,2,16,4,3,1,3,3,1,7,4,0,3,2,2,17,4,21,0,8,24,12,26,23,6,14,9,4,3,7,5,8,6,4,4
E02003736,12,14,4,5,2,3,9,0,5,3,1,7,4,4,79,154,110,78,297,74,14,6,1,8,8,3,6,0,3,0,8,12,5,15,4,14,38,78,0,2,6,1,0,1,0,12,0,20,0,2,2,2,1,2,0,4,0,3,0,7,1,5,0,1,3,5,2,2,0,6,1,0,0,5,0,3,2,0,10,0,12,1,15,13,9,10,6,4,8,2,1,1,4,6,2,2,2,1
E02003737,30,1,3,6,4,1,6,1,1,4,6,3,5,2,136,98,169,102,105,758,108,61,3,24,2,0,1,0,7,1,6,6,7,4,6,3,9,26,0,0,7,0,1,3,0,4,0,3,0,2,0,0,1,1,3,1,0,1,0,1,0,0,0,1,4,3,0,0,0,2,0,0,1,1,0,1,1,3,8,0,5,1,8,7,2,6,3,2,3,5,2,1,0,3,12,1,5,0
E02003738,48,7,7,8,2,0,9,1,2,5,9,4,3,2,90,38,125,65,57,428,264,60,5,29,7,3,4,0,6,3,7,7,2,6,0,5,4,15,2,1,5,4,0,1,0,2,0,5,0,2,0,2,0,3,1,8,2,2,2,1,2,2,1,0,1,1,4,2,10,2,0,2,3,0,5,0,0,0,6,0,8,1,3,5,7,13,4,1,1,6,1,1,7,6,10,9,3,3
E02003739,26,3,2,2,4,1,2,0,2,3,3,5,3,7,11,13,11,14,13,73,48,155,6,42,1,0,2,0,0,0,0,0,0,2,2,0,1,3,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,1,0,1,0,0,0,2,0,0,2,1,2,0,3,3,4,4,7,3,1,2,2,0,4,1,1,1,2,2
E02006873,8,20,12,15,34,9,15,11,7,13,11,14,23,17,11,14,17,14,12,16,5,7,168,8,145,0,3,1,1,1,2,1,1,1,1,3,2,13,3,5,8,10,1,13,0,26,3,22,0,15,1,14,2,24,1,41,0,25,0,20,0,24,0,15,0,43,1,19,0,50,1,27,0,20,1,38,1,13,35,0,30,0,61,20,33,33,21,24,100,25,9,42,11,18,17,22,38,19
E02003740,58,11,7,15,9,5,21,8,9,6,3,12,7,6,12,19,14,10,22,57,37,84,7,156,6,0,1,0,2,0,0,1,0,5,6,0,3,3,0,0,0,0,0,4,0,2,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,3,0,2,0,1,0,1,3,0,2,1,0,1,10,1,11,0,8,10,4,11,32,6,10,48,3,3,4,3,17,5,5,3
