Origen,E02006825,E02003719,E02003720,E02003721,E02003722,E02003723,E02003724,E02003725,E02003726,E02003727,E02003728,E02003729,E02003730,E02003731,E02003732,E02003733,E02003734,E02003735,E02003736,E02003737,E02003738,E02003739,E02006873,E02003740,E02006874,E02003742,E02003743,E02006877,E02003744,E02006878,E02003745,E02003746,E02003747,E02003748,E02003749,E02003750,E02003751,E02003752,E02003753,E02003754,E02003755,E02003756,E02003237,E02003757,E02003238,E02003758,E02003239,E02003759,E02003240,E02003760,E02003241,E02003761,E02003242,E02003762,E02003243,E02003763,E02003244,E02003764,E02003245,E02003765,E02003246,E02003766,E02003247,E02003767,E02003248,E02003768,E02003249,E02003769,E02003250,E02003770,E02003251,E02003771,E02003252,E02003772,E02003253,E02003773,E02003254,E02003774,E02003775,E02003255,E02003776,E02003257,E02003777,E02003778,E02003779,E02003780,E02003781,E02003783,E02003784,E02003785,E02003786,E02003787,E02003788,E02003789,E02003790,E02003791,E02003792,E02003793
E02006825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003719,0,7,0,0,0,0,5,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,1,0,0
E02003720,0,3,2,3,0,0,1,0,0,0,0,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,3,5,0,0,0,2,0,0,0,0,2,0,0,0
E02003721,0,4,4,3,7,2,4,8,17,9,8,7,1,0,3,2,1,5,2,2,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,2,5,3,4,9,2,0,6,3,0,0,3,2,1,0,0
E02003722,0,12,1,4,0,0,8,0,1,5,3,10,2,2,1,0,1,0,0,1,0,2,4,0,1,0,0,0,0,0,1,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,3,0,4,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,2,2,4,4,2,3,3,4,1,0,1,1,1,0,0,0
E02003723,2,18,8,10,6,8,27,2,4,6,13,22,12,12,0,4,2,5,7,2,0,2,8,7,6,0,0,0,1,0,1,0,1,2,2,7,1,11,1,0,1,0,1,0,0,4,0,8,1,6,0,3,0,1,0,23,0,3,0,8,0,1,0,0,4,13,0,0,0,0,0,3,0,1,0,1,0,2,12,1,5,0,9,4,35,15,12,17,9,14,2,1,4,6,5,4,2,0
E02003724,0,10,11,3,1,3,18,2,1,1,3,6,5,1,1,0,0,1,1,2,0,3,2,9,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,1,2,0,2,0,0,1,0,1,0,0,1,3,7,6,3,4,4,0,0,0,7,0,1,2,0
E02003725,11,174,85,101,42,19,170,30,21,39,94,143,47,96,5,17,24,9,25,14,7,23,83,41,49,1,0,0,1,0,1,1,1,0,1,2,3,8,3,2,1,3,0,6,0,22,1,22,0,15,0,12,0,8,0,64,0,13,3,41,0,9,1,6,1,60,0,4,0,12,5,15,1,22,0,24,0,7,55,0,60,0,75,46,136,164,104,70,112,110,49,18,37,75,74,29,34,7
E02003726,1,21,8,9,4,4,18,0,2,4,4,21,6,11,0,2,0,0,2,2,2,1,5,4,7,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,2,0,2,0,1,0,1,0,2,0,0,0,9,0,5,0,5,0,0,0,0,0,2,1,0,0,1,0,2,0,0,0,1,0,0,2,0,9,0,8,3,22,18,14,5,15,17,1,4,5,3,8,3,3,0
E02003727,0,4,2,7,1,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,3,2,1,2,4,2,1,0,0,1,3,0,0,0
