Origen,E02006825,E02003719,E02003720,E02003721,E02003722,E02003723,E02003724,E02003725,E02003726,E02003727,E02003728,E02003729,E02003730,E02003731,E02003732,E02003733,E02003734,E02003735,E02003736,E02003737,E02003738,E02003739,E02006873,E02003740,E02006874,E02003742,E02003743,E02006877,E02003744,E02006878,E02003745,E02003746,E02003747,E02003748,E02003749,E02003750,E02003751,E02003752,E02003753,E02003754,E02003755,E02003756,E02003237,E02003757,E02003238,E02003758,E02003239,E02003759,E02003240,E02003760,E02003241,E02003761,E02003242,E02003762,E02003243,E02003763,E02003244,E02003764,E02003245,E02003765,E02003246,E02003766,E02003247,E02003767,E02003248,E02003768,E02003249,E02003769,E02003250,E02003770,E02003251,E02003771,E02003252,E02003772,E02003253,E02003773,E02003254,E02003774,E02003775,E02003255,E02003776,E02003257,E02003777,E02003778,E02003779,E02003780,E02003781,E02003783,E02003784,E02003785,E02003786,E02003787,E02003788,E02003789,E02003790,E02003791,E02003792,E02003793
E02006825,6.402553,36.67286,34.50998,39.01219,35.86825,36.96688,28.74696,34.3939,35.34637,27.09139,31.35657,33.90902,36.74412,36.81741,58.48849,52.89428,44.64449,42.90724,54.18323,24.29972,15.8175,15.05175,52.77574,4.085393,59.81918,98.05203,91.99203,112.8991,93.08001,109.2232,94.08418,85.08713,112.0037,80.47737,98.74596,85.08713,73.4424,61.89428,106.8212,102.9622,83.52041,93.19616,108.7742,82.63152,114.8883,74.82555,114.4614,81.27439,97.78909,73.48695,106.6216,73.79178,113.2261,76.65433,119.8338,65.84306,116.2653,73.24687,114.2418,62.5363,114.9858,67.47346,114.5809,86.73109,116.7944,53.72847,115.7072,83.0652,114.1552,74.0652,113.1525,64.07937,116.8712,66.28229,118.8241,65.2187,112.5726,69.93706,58.92139,120.4375,55.99446,117.2999,51.06968,38.37102,43.58338,48.12785,29.03704,45.89935,45.88549,34.17038,45.05636,54.3939,51.3279,50.12031,24.57165,52.69587,67.72665,63.14067
E02003719,48.62679,6.928706,7.935138,2.691316,5.214045,10.39204,10.6242,9.624353,14.73063,18.10778,19.67374,22.02438,16.12838,22.07825,56.0974,43.44522,42.2534,41.67178,31.29972,53.97147,48.34132,47.87683,26.2009,48.5414,33.24434,100.6602,104.268,92.08098,101.3521,76.92561,84.63513,75.63807,84.46088,71.02831,68.3219,75.63807,63.99334,52.44522,74.52361,70.66463,51.66186,60.89861,93.52253,50.77297,90.10452,41.52991,91.10452,47.97876,91.98096,40.19132,97.17256,40.49614,91.48544,44.35678,94.05981,32.54742,93.16826,40.9482,91.80886,29.24067,91.61623,40.89862,90.91164,60.15625,91.0204,27.15363,89.93325,53.65181,87.37021,47.49036,92.97569,37.50453,86.76074,39.70745,86.5266,38.64386,93.777,43.36221,25.62575,88.13999,24.38975,91.34982,17.77405,17.93206,17.00854,14.83222,21.36074,19.32451,19.31065,24.45462,29.19194,29.62436,30.71216,34.58764,43.41084,35.41426,47.11091,38.37113
E02003720,46.87791,10.46838,5.819338,12.80771,5.917414,2.456897,8.875319,6.485985,12.51167,16.24991,17.45479,19.80542,13.89587,19.85929,62.25153,45.54369,48.40752,47.8259,33.39818,55.07465,46.59244,46.12795,18.26576,46.79252,25.3092,102.7587,106.3665,89.86855,103.4506,74.71317,86.73359,77.73653,84.7075,73.12678,68.56853,77.73653,66.0918,54.54369,72.31118,68.4522,51.90848,58.68617,91.31009,51.01959,87.89207,41.77654,88.89207,48.22538,84.65013,40.88371,99.27103,41.18853,89.27299,42.14435,91.84736,33.23981,90.95583,38.73689,89.59641,29.48729,89.40378,32.96348,88.6992,52.22111,88.80796,19.21849,87.72081,48.55522,85.15777,39.55522,90.76325,29.56939,84.54829,31.77231,84.31416,30.70872,91.56456,35.42708,29.58472,85.92756,21.48448,89.13739,18.37733,27.90123,9.073403,16.26155,19.61186,11.38937,11.37551,23.20574,26.97298,26.48598,24.63012,32.36868,41.19188,33.1953,41.17348,35.23276
E02003721,51.12706,2.500264,10.4354,10.27886,7.71431,12.8923,13.12446,12.12462,17.2309,20.60805,22.17401,24.52464,18.62864,24.57851,57.74397,45.09179,43.89997,43.31835,32.94629,55.61805,50.84158,50.3771,28.70117,51.04166,35.74461,102.1968,105.8046,90.89964,102.8887,75.74428,86.17171,77.17465,83.27955,72.5649,67.14057,77.17465,65.52992,53.98181,73.34228,69.48331,50.48053,59.71728,92.3412,49.59164,88.92318,40.34858,89.92318,46.79743,90.79963,39.00999,98.70915,39.31481,90.3041,43.17545,92.87847,31.36609,91.98692,39.76687,90.62753,28.05933,90.43489,43.21729,89.73031,59.64251,89.83907,29.07362,88.75191,52.47047,86.18888,49.99062,91.79436,40.0048,85.5794,42.20772,85.34527,41.14413,92.59566,45.86248,24.44442,86.95866,23.20841,90.1685,16.59272,19.57863,19.50881,13.65088,23.86101,21.33028,21.81092,26.95488,31.6922,32.12462,33.21243,37.08791,45.91111,37.91452,49.61118,40.87139
E02003722,45.67261,4.550966,3.358275,6.890301,3.421563,5.815172,7.67001,5.13348,10.76109,15.0446,15.7042,18.05483,12.14529,18.10871,60.14916,47.49697,46.30515,45.72354,35.35147,53.86934,45.38713,44.92264,21.62404,45.58721,28.66748,104.5519,108.1597,93.22682,105.2438,78.07145,88.52679,79.52973,85.63462,74.91998,69.49565,79.52973,67.885,56.33689,75.66945,71.81048,52.8356,62.04445,94.66837,51.94672,91.25034,42.70366,92.25034,49.15251,88.00841,41.36507,101.0642,41.66989,92.63127,45.50262,95.20564,33.72117,94.3141,42.09517,92.95469,30.41441,92.76205,36.32175,92.05748,55.57938,92.16624,22.57677,91.07909,51.91349,88.51604,42.91349,94.12153,32.92767,87.90657,35.13059,87.67244,34.067,94.92283,38.78535,26.7995,89.28584,24.84276,92.49567,18.9478,21.98381,12.43168,16.00596,18.40655,14.74765,14.73379,22.00043,25.22239,25.13348,26.74262,30.6181,39.4413,31.44472,43.04924,33.88026
E02003723,49.09025,12.73783,5.202378,15.07716,8.186859,5.530497,11.08766,8.551129,14.17874,18.46225,19.12185,21.47248,15.56294,21.52636,60.95806,44.25022,47.11405,46.53244,32.10472,57.28699,48.80478,48.34029,21.6683,49.00486,28.71174,101.1678,104.7757,87.81033,101.8598,72.65495,85.14277,76.14571,82.2506,71.53596,66.11163,76.14571,64.50098,52.95287,70.25296,66.39398,49.45158,56.62795,89.25187,48.56269,85.83385,39.31964,86.83385,45.76849,87.7103,38.42681,97.68021,38.73163,87.21478,40.08613,89.78914,30.78291,88.89761,36.67867,87.53819,27.03039,87.34556,30.90526,86.64099,55.62365,86.74974,16.76159,85.6626,49.38115,83.09955,42.95776,88.70503,32.97193,82.49007,35.17485,82.25594,34.11126,89.50633,38.82961,28.47143,83.86934,20.19102,87.07917,15.92043,30.17067,12.47594,14.96808,21.8242,8.932478,14.77805,25.41808,28.64005,28.55113,25.99428,34.03575,42.85895,34.86237,42.53764,37.2979
E02003724,38.793,7.92589,5.763015,10.26523,7.12129,8.219913,8.090631,5.646934,6.599407,8.773992,11.54252,13.89315,7.997154,13.94703,62.62244,49.97026,48.77844,48.19682,37.82476,46.98973,38.50752,38.04304,24.02878,38.70761,31.07222,107.1852,110.7931,95.63155,107.8772,80.47618,91.16017,82.16311,89.00954,77.55335,72.87057,82.16311,70.51837,58.97026,78.07419,74.21522,56.21053,64.44919,97.07311,55.32164,93.65509,46.07858,94.65509,52.52743,90.41315,44.73999,103.6976,45.04482,95.03602,47.90736,97.61038,37.09609,96.71883,44.49991,95.35944,33.78933,95.1668,38.72649,94.46222,57.98413,94.57098,24.98151,93.48383,54.31824,90.92079,45.31824,96.52627,35.33241,90.31131,37.53533,90.07718,36.47174,97.32758,41.19009,30.17442,91.69057,27.2475,94.90041,22.32272,20.86093,14.83642,19.38089,11.52695,17.15239,17.13853,15.12083,21.06071,25.64693,22.58094,26.45642,35.27962,27.28304,38.97969,34.39371
E02003725,41.60883,8.088818,3.496678,10.42815,3.537851,5.953575,3.606234,5.267919,6.587975,10.98082,11.53109,13.88172,7.972174,13.93559,63.68701,49.04036,49.843,49.26139,36.89486,49.80556,41.32335,40.85887,21.76244,41.52344,28.80588,106.2553,109.8632,93.36523,106.9473,78.20985,90.23027,81.23321,88.20418,76.62346,72.06521,81.23321,69.58848,58.04036,75.80785,71.94888,55.40516,62.18285,94.80677,54.51627,91.38875,45.27322,92.38875,51.72206,88.14681,44.38038,102.7677,44.68521,92.76968,45.64103,95.34404,36.73648,94.45251,42.23357,93.09309,32.98397,92.90046,36.46016,92.19588,55.71779,92.30464,22.71517,91.21749,52.0519,88.65445,43.0519,94.25993,33.06607,88.04498,35.26899,87.81084,34.2054,95.06123,38.92375,30.33735,89.42423,24.98116,92.63407,21.874,23.67675,12.57008,19.54381,14.34278,14.88605,14.87219,17.93666,21.04928,20,22.56951,26.44498,35.26818,27.2716,37.91576,28.74677
E02003726,43.56753,15.66029,12.03687,17.99962,12.07719,13.93198,8.501474,8.906416,9.134201,10.97129,6.80399,9.154623,1.397747,8.138569,70.35684,57.01877,56.51284,55.93122,44.87327,54.70081,46.21859,45.75411,29.98568,40.65063,37.02912,114.2337,117.8416,101.5885,114.9257,86.43308,98.20867,89.21162,96.18258,84.60186,80.04362,89.21162,77.56688,66.01878,84.03109,80.17211,63.38356,70.40609,103.03,62.49468,99.61198,53.25162,100.612,59.70047,96.37005,52.35879,110.7461,52.66361,100.9929,53.86427,103.5673,44.71489,102.6757,50.45681,101.3163,40.96238,101.1237,44.6834,100.4191,63.94103,100.5279,30.69358,99.44073,60.27514,96.87769,51.27514,102.4832,41.2893,96.26821,43.49223,96.03408,42.42863,103.2845,47.14699,37.90882,97.64748,32.95957,100.8573,29.85241,28.05258,20.79332,27.11528,18.71861,22.86446,23.09543,16.06458,15.80532,28.47148,23.60942,21.20102,29.47116,21.02764,36.34373,36.81071
E02003727,36.0423,14.03481,11.87193,16.37414,13.23021,14.32883,6.108915,11.75585,8.363361,3.592094,4.265179,6.817636,9.761107,9.726017,64.1014,51.44922,50.25739,49.67578,39.30371,44.23904,35.75682,35.29234,30.1377,35.95691,37.18113,108.6642,111.9314,101.7405,109.3561,86.58511,92.63911,83.64206,95.11846,79.0323,78.97948,83.64206,71.99733,60.44922,84.18311,80.32413,62.31945,70.5581,103.182,61.43055,99.764,52.1875,100.764,58.63635,96.52206,50.8489,105.1766,51.15373,101.1449,54.01628,103.7193,43.20501,102.8278,50.60883,101.4683,39.89825,101.2757,44.83541,100.5711,64.09304,100.6799,31.09042,99.59274,60.42715,97.0297,51.42715,102.6352,41.44132,96.42023,43.64425,96.1861,42.58065,103.4365,47.29901,36.28334,97.79949,33.35641,101.0093,28.43164,17.08129,20.94533,25.48981,7.747315,23.2613,23.24744,7.078996,20.56394,31.75585,28.68985,25.62789,31.05861,28.20345,44.384,40.50262
