Origen,E02006825,E02003719,E02003720,E02003721,E02003722,E02003723,E02003724,E02003725,E02003726,E02003727,E02003728,E02003729,E02003730,E02003731,E02003732,E02003733,E02003734,E02003735,E02003736,E02003737,E02003738,E02003739,E02006873,E02003740,E02006874,E02003742,E02003743,E02006877,E02003744,E02006878,E02003745,E02003746,E02003747,E02003748,E02003749,E02003750,E02003751,E02003752,E02003753,E02003754,E02003755,E02003756,E02003237,E02003757,E02003238,E02003758,E02003239,E02003759,E02003240,E02003760,E02003241,E02003761,E02003242,E02003762,E02003243,E02003763,E02003244,E02003764,E02003245,E02003765,E02003246,E02003766,E02003247,E02003767,E02003248,E02003768,E02003249,E02003769,E02003250,E02003770,E02003251,E02003771,E02003252,E02003772,E02003253,E02003773,E02003254,E02003774,E02003775,E02003255,E02003776,E02003257,E02003777,E02003778,E02003779,E02003780,E02003781,E02003783,E02003784,E02003785,E02003786,E02003787,E02003788,E02003789,E02003790,E02003791,E02003792,E02003793
E02006825,58.245,18.76033,18.61129,17.71015,17.21179,18.18143,15.21511,18.39869,17.33674,16.88188,17.70359,17.66471,18.79101,17.69607,25.45948,27.73073,19.39966,17.90831,21.3463,13.82402,12.17996,11.15035,27.38133,10.01109,28.18355,47.09498,42.73091,48.56194,41.67996,47.97437,44.24766,38.85241,49.28194,38.76681,45.91756,37.60489,36.11568,30.11479,46.96587,48.01463,44.34074,42.30485,55.83611,40.7347,55.57828,37.34697,57.37864,28.12168,55.64577,35.11327,50.3231,34.18234,53.34094,36.5366,54.22345,32.0743,53.9776,34.27922,52.33314,30.88638,53.50077,32.24882,52.43432,43.84177,52.36081,30.30567,51.84146,38.36472,50.9355,32.6797,52.55948,35.72531,50.63298,37.13511,49.40974,35.65379,48.79551,37.56046,28.15862,49.81237,23.45075,48.52657,25.07283,19.96626,24.61996,18.29968,19.92501,19.52299,26.84816,18.20337,21.47318,30.55282,21.95962,20.27064,18.88302,18.00683,28.16014,32.99752
E02003719,18.76033,8.329779,2.402802,3.143862,2.889292,3.681898,4.050632,4.202635,4.185731,5.21378,5.75162,7.943103,5.640007,5.748644,22.55153,22.54263,17.9298,16.43845,14.84533,22.12157,21.23892,17.09306,12.19392,10.30509,12.99323,44.18702,39.82296,33.37162,38.77201,32.78404,38.2653,32.80227,38.82131,32.71666,39.86742,31.55474,30.06553,24.06464,31.77555,32.82431,32.22737,27.11452,40.64579,28.62132,40.38796,22.94841,42.18832,17.80954,40.45545,19.92295,40.74874,18.99202,38.15062,21.34628,39.03313,16.88397,38.78727,19.0889,37.14281,15.69606,38.31045,17.0585,37.244,28.65145,37.17049,15.11535,36.65114,23.1744,35.74519,17.49229,37.36916,20.5379,35.44267,21.9477,34.21941,20.46638,33.60519,22.37305,12.9692,34.62205,8.26133,33.33624,9.882509,6.714528,9.429643,3.110261,5.609829,5.046044,11.96501,10.75111,9.135145,17.10571,8.808608,11.30335,16.73171,11.7497,15.00914,19.59517
E02003720,18.61129,2.402802,8.146637,3.072547,1.911002,1.873211,3.396176,2.75576,3.531275,4.559324,5.097164,7.288647,4.706726,5.094188,22.96838,22.95948,18.34665,16.8553,15.26219,22.53843,21.09053,17.01867,11.30487,10.2307,12.10418,44.60387,40.23981,32.48257,39.18886,31.895,38.68215,33.21912,37.93226,33.13351,40.28428,31.9716,30.48239,24.48149,30.88651,31.93526,31.33832,26.22548,39.75674,27.73228,39.49892,22.05936,41.29927,16.92049,39.5664,19.03391,39.8597,18.10297,37.26157,20.45724,38.14408,15.99493,37.89823,18.19986,36.25377,14.80702,37.42141,16.16945,36.35495,27.76241,36.28144,14.2263,35.7621,22.28535,34.85614,16.60324,36.48011,19.64885,34.55362,21.05866,33.33037,19.57733,32.71614,21.484,12.41821,33.73301,7.714672,32.4472,8.993463,7.131382,8.540597,2.563604,5.097431,3.464853,10.88636,10.09665,8.201864,15.61757,7.875328,10.37006,16.07725,10.81642,14.07585,18.10703
E02003721,17.71015,3.143862,3.072547,10.73175,1.993033,2.882355,3.049271,3.403092,3.19071,4.212419,4.7566,6.941742,4.644986,4.753623,21.60414,21.59524,16.98241,15.49106,13.89794,21.17418,20.18874,16.04287,12.10485,9.254909,12.9135,43.23964,38.87557,33.85305,37.82462,33.26547,37.31791,31.85488,39.30274,31.76927,38.92003,30.60736,29.11814,23.11725,32.25698,33.30574,32.7088,27.59595,41.12722,29.10275,40.86939,23.42984,42.66975,18.29097,40.93688,20.40438,41.23017,19.47344,38.63205,21.82771,39.51456,17.3654,39.2687,19.57033,37.62424,16.17749,38.79188,17.53993,37.72543,29.13288,37.65192,15.59678,37.13257,23.65583,36.22661,17.40322,37.85059,20.44883,35.9241,21.85863,34.70084,20.37731,34.08662,22.28398,13.84442,35.10348,9.136543,33.81767,10.36394,5.767139,9.911071,3.985475,2.739964,4.246501,11.66801,9.749746,8.140125,16.30616,7.813588,10.30833,15.73669,10.75468,14.01412,18.79562
E02003722,17.21179,2.889292,1.911002,1.993033,8.194285,1.459474,1.99668,1.957618,2.131779,3.159828,3.697668,5.889152,3.586055,3.694692,22.05942,22.05052,17.43769,15.94634,14.35323,21.33509,19.69104,15.61917,10.65938,8.831207,11.46802,43.69492,39.33085,32.43017,38.2799,31.84259,37.77319,32.31017,37.87986,32.22456,39.37532,31.06264,29.57343,23.57253,30.8341,31.88286,31.28592,26.17307,39.70433,27.67987,39.44651,22.00695,41.24686,16.86809,39.514,18.9815,39.80729,18.05056,37.20916,20.40483,38.09168,15.94252,37.84582,18.14745,36.20137,14.75461,37.369,16.11704,36.30255,27.71,36.22903,14.17389,35.70969,22.23295,34.80373,15.95774,36.42771,19.00335,34.50121,20.41316,33.27797,18.93183,32.66373,20.8385,13.60961,33.6806,9.390414,32.39479,8.941057,6.222421,8.488191,4.239346,3.75896,2.801027,10.22253,8.697156,7.081193,14.86069,6.754656,9.249394,14.67776,9.695749,12.95518,17.35015
E02003723,18.18143,3.681898,1.873211,2.882355,1.459474,12.28704,2.966321,1.462363,3.080951,4.129469,4.107093,6.748719,3.413329,4.104117,22.85202,22.84313,18.2303,16.73895,15.14583,22.30473,20.66068,16.58881,9.792889,9.800848,10.5923,44.48752,40.12346,30.9707,39.0725,30.38312,38.5658,33.10277,36.42038,33.01716,40.16792,31.85524,30.36603,24.36514,29.37462,30.42338,29.82644,24.7136,38.24486,26.2204,37.98703,20.54748,39.78739,15.40861,38.05452,17.52203,38.34781,16.59109,35.74969,18.94536,36.63221,14.48305,36.38635,16.68798,34.74189,13.29514,35.90953,14.65757,34.84307,26.25053,34.76956,12.71442,34.25022,20.77347,33.34426,15.09126,34.96824,18.13687,33.04174,19.54667,31.81849,18.06535,31.20426,19.97202,12.15014,32.22113,8.486757,30.93532,7.481583,7.015027,7.028717,3.335689,4.728601,2.171456,9.563982,9.666797,6.908467,14.32417,6.581931,9.076668,15.08718,9.523024,12.78246,16.81363
E02003724,15.21511,4.050632,3.396176,3.049271,1.99668,2.966321,13.21985,3.183574,2.121629,2.053623,2.875336,3.911548,3.575905,2.867818,23.22076,23.21186,18.59903,17.10768,15.51456,19.33841,17.69436,13.62249,12.16622,6.834527,12.97487,44.85625,40.49219,33.93702,39.44124,33.34944,38.93453,33.4715,39.3867,33.38589,40.53666,32.22398,30.73477,24.73388,32.34095,33.3897,32.79277,27.67992,41.21118,29.18672,40.95335,23.5138,42.75371,18.37493,41.02084,20.48835,41.31413,19.55741,38.71601,21.91168,39.59853,17.44937,39.35267,19.6543,37.70821,16.26146,38.87585,17.62389,37.80939,29.21685,37.73588,15.68074,37.21654,23.73979,36.31058,17.46459,37.93456,20.5102,36.00806,21.92,34.78481,20.43868,34.17058,22.34535,15.11646,35.18745,10.75317,33.90164,10.4479,7.383761,9.995037,5.602097,4.709901,4.307874,11.63305,6.700476,6.644919,15.33771,6.744506,9.239244,13.99907,9.685599,12.94503,17.82717
E02003725,18.39869,4.202635,2.75576,3.403092,1.957618,1.462363,3.183574,16.47299,2.311778,3.57006,3.319222,5.960848,2.625458,3.316246,23.37276,23.36386,18.75103,17.25968,15.66657,22.52199,20.87793,16.80607,10.32961,10.0181,11.13826,45.00826,40.64419,32.43306,39.59324,31.84548,39.08653,33.6235,37.88274,33.5379,40.68866,32.37598,30.88677,24.88588,30.83699,31.88575,31.28881,26.17596,39.70723,27.68276,39.4494,22.00985,41.24975,16.87098,39.51689,18.98439,39.81017,18.05345,37.21206,20.40772,38.09457,15.94541,37.84871,18.15034,36.20425,14.7575,37.37189,16.11993,36.30544,27.71289,36.23193,14.17678,35.71258,22.23584,34.80662,15.62797,36.4306,18.67359,34.5041,20.08339,33.28085,18.60207,32.66663,20.50874,13.6125,33.68349,9.476154,32.39768,8.943946,7.535763,8.491079,4.325086,5.226745,2.471259,9.872906,9.210052,6.120596,13.57756,5.79406,8.288797,14.29931,8.735152,11.99459,16.06702
E02003726,17.33674,4.185731,3.531275,3.19071,2.131779,3.080951,2.121629,2.311778,6.820785,1.507785,2.204361,4.932174,2.700352,2.475844,23.35586,23.34696,18.73413,17.24278,15.64966,21.46004,19.81599,15.74412,11.96689,8.956156,12.77554,44.99136,40.62729,34.05165,39.57634,33.46407,39.06963,33.60661,39.50133,33.52099,40.67175,32.35908,30.86987,24.86897,32.45558,33.50433,32.90739,27.79455,41.32581,29.30135,41.06799,23.62843,42.86834,18.48956,41.13548,20.60298,41.42876,19.67204,38.83064,22.02631,39.71316,17.564,39.4673,19.76893,37.82284,16.37609,38.99047,17.73852,37.92403,29.33148,37.85051,15.79537,37.33117,23.85442,36.42521,17.26526,38.04918,20.31087,36.12269,21.72068,34.89944,20.23935,34.28521,22.14602,15.23109,35.30208,10.88826,34.01627,10.56253,7.518859,10.10967,5.737195,4.85134,4.108544,10.76126,8.181377,6.104755,14.46592,5.868954,8.363691,13.45891,8.810047,12.06948,16.95538
E02003727,16.88188,5.21378,4.559324,4.212419,3.159828,4.129469,2.053623,3.57006,1.507785,8.120369,1.455273,3.796985,3.679944,2.258144,24.38391,24.37501,19.76218,18.27083,16.67771,21.00518,19.36113,15.28926,13.22518,8.501297,14.03383,46.0194,41.65534,35.10017,40.60439,34.51258,40.09768,34.63465,40.54985,34.54904,41.6998,33.38713,31.89792,25.89702,33.50409,34.55285,33.95591,28.84307,42.37433,30.34987,42.1165,24.67695,43.91686,19.53808,42.18399,21.6515,42.47728,20.72056,39.87916,23.07482,40.76168,18.61252,40.51582,20.81745,38.87136,17.42461,40.03899,18.78704,38.97255,30.38,38.89903,16.84389,38.37968,24.90294,37.47373,18.52354,39.0977,21.56915,37.17121,22.97896,35.94796,21.49763,35.33373,23.4043,16.2796,36.3506,11.91631,35.06479,11.61105,8.546909,11.15819,6.765245,5.873049,5.366827,12.01954,7.046188,6.035245,15.7242,6.848546,9.343283,13.3894,9.688523,13.04907,18.21366
