MSOA11CD,MSOA11NM
E02006825,East Cambridgeshire 011
E02003719,Cambridge 001
E02003720,Cambridge 002
E02003721,Cambridge 003
E02003722,Cambridge 004
E02003723,Cambridge 005
E02003724,Cambridge 006
E02003725,Cambridge 007
E02003726,Cambridge 008
E02003727,Cambridge 009
E02003728,Cambridge 010
E02003729,Cambridge 011
E02003730,Cambridge 012
E02003731,Cambridge 013
E02003732,East Cambridgeshire 001
E02003733,East Cambridgeshire 002
E02003734,East Cambridgeshire 003
E02003735,East Cambridgeshire 004
E02003736,East Cambridgeshire 005
E02003737,East Cambridgeshire 006
E02003738,East Cambridgeshire 007
E02003739,East Cambridgeshire 008
E02006873,South Cambridgeshire 020
E02003740,East Cambridgeshire 009
E02006874,South Cambridgeshire 021
E02003742,Fenland 001
E02003743,Fenland 002
E02006877,Peterborough 022
E02003744,Fenland 003
E02006878,Peterborough 023
E02003745,Fenland 004
E02003746,Fenland 005
E02003747,Fenland 006
E02003748,Fenland 007
E02003749,Fenland 008
E02003750,Fenland 009
E02003751,Fenland 010
E02003752,Fenland 011
E02003753,Huntingdonshire 001
E02003754,Huntingdonshire 002
E02003755,Huntingdonshire 003
E02003756,Huntingdonshire 004
E02003237,Peterborough 001
E02003757,Huntingdonshire 005
E02003238,Peterborough 002
E02003758,Huntingdonshire 006
E02003239,Peterborough 003
E02003759,Huntingdonshire 007
E02003240,Peterborough 004
E02003760,Huntingdonshire 008
E02003241,Peterborough 005
E02003761,Huntingdonshire 009
E02003242,Peterborough 006
E02003762,Huntingdonshire 010
E02003243,Peterborough 007
E02003763,Huntingdonshire 011
E02003244,Peterborough 008
E02003764,Huntingdonshire 012
E02003245,Peterborough 009
E02003765,Huntingdonshire 013
E02003246,Peterborough 010
E02003766,Huntingdonshire 014
E02003247,Peterborough 011
E02003767,Huntingdonshire 015
E02003248,Peterborough 012
E02003768,Huntingdonshire 016
E02003249,Peterborough 013
E02003769,Huntingdonshire 017
E02003250,Peterborough 014
E02003770,Huntingdonshire 018
E02003251,Peterborough 015
E02003771,Huntingdonshire 019
E02003252,Peterborough 016
E02003772,Huntingdonshire 020
E02003253,Peterborough 017
E02003773,Huntingdonshire 021
E02003254,Peterborough 018
E02003774,Huntingdonshire 022
E02003775,South Cambridgeshire 001
E02003255,Peterborough 019
E02003776,South Cambridgeshire 002
E02003257,Peterborough 021
E02003777,South Cambridgeshire 003
E02003778,South Cambridgeshire 004
E02003779,South Cambridgeshire 005
E02003780,South Cambridgeshire 006
E02003781,South Cambridgeshire 007
E02003783,South Cambridgeshire 009
E02003784,South Cambridgeshire 010
E02003785,South Cambridgeshire 011
E02003786,South Cambridgeshire 012
E02003787,South Cambridgeshire 013
E02003788,South Cambridgeshire 014
E02003789,South Cambridgeshire 015
E02003790,South Cambridgeshire 016
E02003791,South Cambridgeshire 017
E02003792,South Cambridgeshire 018
E02003793,South Cambridgeshire 019
