MSOA11CD,MSOA11NM
E01018160,Huntingdonshire 003E
E01018161,Huntingdonshire 011A
E01018162,Huntingdonshire 011B
E01018163,Huntingdonshire 011C
E01018164,Huntingdonshire 011D
E01018165,Huntingdonshire 011E
E01018166,Huntingdonshire 013A
E01018167,Huntingdonshire 013B
E01018168,Huntingdonshire 013C
E01018169,Huntingdonshire 013D
E01018170,Huntingdonshire 011F
E01018171,Huntingdonshire 011G
E01018172,Huntingdonshire 020A
E01018173,Huntingdonshire 020B
E01018174,Huntingdonshire 020C
E01018175,Huntingdonshire 020D
E01018176,Huntingdonshire 020E
E01018177,Huntingdonshire 022A
E01018178,Huntingdonshire 022B
E01018179,Huntingdonshire 022C
E01018180,Huntingdonshire 022D
E01018181,Huntingdonshire 021A
E01018182,Huntingdonshire 021B
E01018183,Huntingdonshire 021C
E01018184,Huntingdonshire 021D
E01018185,Huntingdonshire 021E
E01018186,Huntingdonshire 021F
E01018187,Huntingdonshire 019A
E01018188,Huntingdonshire 019B
E01018189,Huntingdonshire 019C
E01018190,Huntingdonshire 019D
E01018191,Huntingdonshire 004A
E01018192,Huntingdonshire 004B
E01018193,Huntingdonshire 004C
E01018194,Huntingdonshire 004D
E01018195,Huntingdonshire 004E
E01018196,Huntingdonshire 006A
E01018197,Huntingdonshire 006B
E01018198,Huntingdonshire 006C
E01018199,Huntingdonshire 006D
E01018200,Huntingdonshire 002C
E01018201,Huntingdonshire 002D
E01018202,Huntingdonshire 016C
E01018203,Huntingdonshire 016D
E01018204,Huntingdonshire 016E
E01018205,Huntingdonshire 016F
E01018206,Huntingdonshire 006E
E01018207,Huntingdonshire 006F
E01018208,Huntingdonshire 005A
E01018209,Huntingdonshire 005B
E01018210,Huntingdonshire 005C
E01018211,Huntingdonshire 005D
E01018212,Huntingdonshire 001A
E01018213,Huntingdonshire 001B
E01018214,Huntingdonshire 001C
E01018215,Huntingdonshire 001D
E01018216,Huntingdonshire 001E
E01018217,Huntingdonshire 001F
